"Week","Delivery Associate ","Transporter ID","Overall Standing","Overall Score","FICO Metric","FICO Tier","FICO Score","Speeding Event Rate (per trip)","Speeding Event Rate Tier","Speeding Event Rate Score","Seatbelt-Off Rate (per trip)","Seatbelt-Off Rate Tier","Seatbelt-Off Rate Score","Distractions Rate (per trip)","Distractions Rate Tier","Distractions Rate Score","Sign/ Signal Violations Rate (per trip)","Sign/ Signal Violations Rate Tier","Sign/ Signal Violations Rate Score","Following Distance Rate (per trip)","Following Distance Rate Tier","Following Distance Rate Score","CDF DPMO","CDF DPMO Tier","CDF DPMO Score","CED","CED Tier","CED Score","DCR","DCR Tier","DCR Score","DSB","DSB DPMO Tier","DSB DPMO Score","POD","POD Tier","POD Score","PSB","PSB Tier","PSB Score","Packages Delivered"
"2025-W48","Driver N","DRIVERN12345","Platinum","85.38","","","","0.0","Platinum","100","0.0","Platinum","100","0.4","Gold","50","0.0","Platinum","100","0.2","Platinum","82.85","0","Platinum","100","0","Platinum","100","96.9%","Silver","33.3","0","Platinum","100","98.7%","Platinum","87.61","","","","1275"
"2025-W48","Driver O","DRIVERO12345","Gold","78.77","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.3","Platinum","81.85","0.5","Gold","50","0.0","Platinum","100","4515","Bronze","0","0","Platinum","100","99.0%","Platinum","86.57","0","Platinum","100","98.5%","Platinum","87.39","","","","914"
"2025-W48","Driver P","DRIVERP12345","Platinum","90.0","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0","Platinum","100","0","Platinum","100","98.6%","Gold","54.3","0","Platinum","100","97.5%","Gold","45.75","","","","1442"
"2025-W48","Driver Q","DRIVERQ12345","Gold","73.89","","","","0.0","Platinum","100","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","1208","Gold","64.91","2198","Bronze","0","97.2%","Silver","34.86","0","Platinum","100","97.8%","Gold","56.3","","","","1319"
"2025-W48","Driver R","DRIVERR12345","Platinum","83.27","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","1488","Gold","66.08","742","Silver","44.76","98.0%","Gold","55.17","0","Platinum","100","98.7%","Platinum","84.86","","","","260"
"2025-W48","Driver S","DRIVERS12345","Gold","71.42","","","","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","3048","Bronze","0","2198","Bronze","0","97.0%","Silver","35.0","0","Platinum","100","98.0%","Platinum","96.31","","","","1097"
"2025-W48","Driver T","DRIVERT12345","Platinum","81.15","","","","0.5","Gold","50","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","6438","Bronze","0","0","Platinum","100","99.9%","Platinum","100","0","Platinum","100","99.8%","Platinum","79.66","","","","634"
"2025-W48","Driver U","DRIVERU12345","Silver","64.97","","","","0.5","Gold","50","0.5","Gold","50","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","8368","Bronze","0","0","Platinum","100","97.1%","Silver","35.3","0","Platinum","100","97.5%","Gold","64.39","","","","949"
"2025-W48","Driver V","DRIVERV12345","Gold","66.14","","","","0.5","Gold","50","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","5135","Bronze","0","2198","Bronze","0","97.0%","Silver","41.58","0","Platinum","100","98.2%","Platinum","87.93","","","","269"
"2025-W48","Driver W","DRIVERW12345","Gold","79.17","","","","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","3048","Bronze","0","0","Platinum","100","96.7%","Silver","31.37","0","Platinum","100","98.8%","Platinum","77.5","","","","530"
"2025-W48","Driver X","DRIVERX12345","Platinum","83.02","","","","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","3654","Bronze","0","0","Platinum","100","98.7%","Gold","65.43","0","Platinum","100","98.5%","Platinum","82.96","","","","1345"
"2025-W48","Driver Y","DRIVERY12345","Platinum","85.86","","","","0.0","Platinum","100","0.0","Platinum","100","0.4","Gold","50","0.3","Platinum","81.85","0.0","Platinum","100","745","Platinum","81.57","0","Platinum","100","97.9%","Silver","48.58","0","Platinum","100","99.2%","Platinum","96.59","","","","764"
"2025-W48","Driver Z","DRIVERZ12345","Platinum","87.11","","","","0.0","Platinum","100","0.5","Gold","50","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0","Platinum","100","0","Platinum","100","98.3%","Gold","72.38","0","Platinum","100","97.8%","Gold","66.86","","","","864"
"2025-W48","Driver AA","DRIVERAA12345","Platinum","81.89","","","","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.2","Platinum","82.85","3048","Bronze","0","0","Platinum","100","98.6%","Gold","53.17","0","Platinum","100","100.0%","Platinum","100","","","","1233"
"2025-W48","Driver AB","DRIVERAB12345","Platinum","85.17","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","8368","Bronze","0","0","Platinum","100","99.1%","Platinum","89.07","0","Platinum","100","97.9%","Gold","62.66","","","","727"
"2025-W48","Driver AC","DRIVERAC12345","Gold","79.61","","","","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","8368","Bronze","0","0","Platinum","100","96.8%","Silver","30.88","0","Platinum","100","98.6%","Platinum","83.34","","","","716"
"2025-W48","Driver AD","DRIVERAD12345","Gold","71.25","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","3048","Bronze","0","1284","Bronze","0","98.5%","Gold","65.0","0","Platinum","100","97.8%","Gold","65.7","","","","455"
"2025-W48","Driver AE","DRIVERAE12345","Platinum","92.15","","","","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","1285","Gold","66.0","0","Platinum","100","99.6%","Platinum","85.31","0","Platinum","100","98.0%","Platinum","88.32","","","","661"
"2025-W48","Driver AF","DRIVERAF12345","Gold","77.83","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","5135","Bronze","0","0","Platinum","100","99.6%","Platinum","91.74","0","Platinum","100","97.6%","Gold","54.7","","","","830"
"2025-W48","Driver AG","DRIVERAG12345","Platinum","82.92","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","0","Platinum","100","1284","Bronze","0","99.6%","Platinum","82.99","0","Platinum","100","99.6%","Platinum","96.21","","","","605"
"2025-W48","Driver AH","DRIVERAH12345","Gold","76.99","","","","0.2","Platinum","82.85","0.0","Platinum","100","0.5","Gold","50","0.5","Gold","50","0.2","Platinum","82.85","745","Platinum","79.79","0","Platinum","100","96.6%","Silver","31.39","0","Platinum","100","98.0%","Platinum","93.01","","","","822"
"2025-W48","Driver AI","DRIVERAI12345","Gold","77.93","","","","0.2","Platinum","82.85","0.3","Platinum","81.85","0.4","Gold","50","0.5","Gold","50","0.0","Platinum","100","1285","Gold","64.97","0","Platinum","100","96.9%","Silver","49.67","0","Platinum","100","99.9%","Platinum","100","","","","515"
"2025-W48","Driver AJ","DRIVERAJ12345","Gold","78.33","","","","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","4515","Bronze","0","742","Silver","35.78","98.0%","Gold","65.68","0","Platinum","100","100.0%","Platinum","100","","","","386"
"2025-W48","Driver AK","DRIVERAK12345","Gold","75.37","","","","0.0","Platinum","100","0.0","Platinum","100","0.4","Gold","50","0.0","Platinum","100","0.0","Platinum","100","3048","Bronze","0","0","Platinum","100","97.8%","Silver","42.46","0","Platinum","100","97.7%","Gold","61.25","","","","826"
"2025-W48","Driver AL","DRIVERAL12345","Platinum","81.22","","","","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","1488","Gold","60.3","742","Silver","39.97","97.9%","Silver","37.58","0","Platinum","100","98.2%","Platinum","92.46","","","","410"
"2025-W48","Driver AM","DRIVERAM12345","Platinum","90.81","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.2","Platinum","82.85","0","Platinum","100","0","Platinum","100","97.5%","Silver","42.13","0","Platinum","100","98.6%","Platinum","83.09","","","","1337"
"2025-W48","Driver AN","DRIVERAN12345","Gold","74.05","","","","0.5","Gold","50","0.5","Gold","50","0.4","Gold","50","0.0","Platinum","100","0.0","Platinum","100","2116","Silver","38.53","0","Platinum","100","98.8%","Gold","55.05","0","Platinum","100","98.2%","Platinum","96.94","","","","1446"
"2025-W48","Driver AO","DRIVERAO12345","Platinum","86.7","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","605","Platinum","85.5","0","Platinum","100","96.7%","Silver","31.46","0","Platinum","100","100.0%","Platinum","100","","","","1401"
"2025-W48","Driver AP","DRIVERAP12345","Gold","69.96","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.4","Gold","50","0.3","Platinum","81.85","0.0","Platinum","100","2116","Silver","43.18","1284","Bronze","0","97.4%","Silver","47.21","0","Platinum","100","99.1%","Platinum","95.48","","","","161"
"2025-W48","Driver AQ","DRIVERAQ12345","Gold","66.46","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","3048","Bronze","0","2198","Bronze","0","96.7%","Silver","39.13","0","Platinum","100","98.1%","Platinum","93.63","","","","398"
"2025-W48","Driver AR","DRIVERAR12345","Silver","64.23","","","","0.2","Platinum","82.85","0.5","Gold","50","0.3","Platinum","81.85","0.5","Gold","50","0.0","Platinum","100","8368","Bronze","0","1284","Bronze","0","99.4%","Platinum","91.15","0","Platinum","100","98.9%","Platinum","86.44","","","","475"
"2025-W48","Driver AS","DRIVERAS12345","Gold","68.17","","","","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.3","Platinum","81.85","0.0","Platinum","100","5135","Bronze","0","2198","Bronze","0","98.7%","Gold","68.7","0","Platinum","100","98.2%","Platinum","81.16","","","","308"
"2025-W48","Driver AT","DRIVERAT12345","Platinum","82.14","","","","0.2","Platinum","82.85","0.2","Platinum","82.85","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","605","Platinum","77.64","0","Platinum","100","97.8%","Silver","38.15","0","Platinum","100","97.9%","Gold","58.11","","","","588"
"2025-W48","Driver AU","DRIVERAU12345","Platinum","87.23","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","1488","Gold","63.72","0","Platinum","100","99.5%","Platinum","94.14","0","Platinum","100","99.4%","Platinum","82.57","","","","929"
"2025-W48","Driver AV","DRIVERAV12345","Gold","76.44","","","","0.3","Platinum","81.85","0.3","Platinum","81.85","0.3","Platinum","81.85","0.3","Platinum","81.85","0.0","Platinum","100","3048","Bronze","0","0","Platinum","100","98.2%","Gold","53.64","0","Platinum","100","98.2%","Platinum","83.39","","","","1144"
"2025-W48","Driver AW","DRIVERAW12345","Gold","79.85","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","0.0","Platinum","100","3654","Bronze","0","0","Platinum","100","99.7%","Platinum","81.26","0","Platinum","100","99.0%","Platinum","85.43","","","","205"
"2025-W48","Driver AX","DRIVERAX12345","Platinum","87.05","","","","0.5","Gold","50","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","1285","Gold","61.34","0","Platinum","100","98.1%","Gold","73.93","0","Platinum","100","98.3%","Platinum","85.27","","","","926"
