"Name and ID","TransporterID","Position","Qualifications","ID expiration","Personal Phone Number","Work Phone Number","Email","Status"
"Driver Z","DRIVERZ12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverz.divemetric@driverz.com","ACTIVE"
"Driver AA","DRIVERAA12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveraa.divemetric@driveraa.com","ACTIVE"
"Driver AB","DRIVERAB12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverab.divemetric@driverab.com","ACTIVE"
"Driver AC","DRIVERAC12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverac.divemetric@driverac.com","ACTIVE"
"Driver AD","DRIVERAD12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverad.divemetric@driverad.com","ACTIVE"
"Driver AE","DRIVERAE12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverae.divemetric@driverae.com","ACTIVE"
"Driver AF","DRIVERAF12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveraf.divemetric@driveraf.com","ACTIVE"
"Driver AG","DRIVERAG12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverag.divemetric@driverag.com","ACTIVE"
"Driver AH","DRIVERAH12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverah.divemetric@driverah.com","ACTIVE"
"Driver AI","DRIVERAI12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverai.divemetric@driverai.com","ACTIVE"
"Driver AJ","DRIVERAJ12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveraj.divemetric@driveraj.com","ACTIVE"
"Driver AK","DRIVERAK12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverak.divemetric@driverak.com","ACTIVE"
"Driver AL","DRIVERAL12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveral.divemetric@driveral.com","ACTIVE"
"Driver AM","DRIVERAM12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveram.divemetric@driveram.com","ACTIVE"
"Driver AN","DRIVERAN12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveran.divemetric@driveran.com","ACTIVE"
"Driver AO","DRIVERAO12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverao.divemetric@driverao.com","ACTIVE"
"Driver AP","DRIVERAP12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverap.divemetric@driverap.com","ACTIVE"
"Driver AQ","DRIVERAQ12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveraq.divemetric@driveraq.com","ACTIVE"
"Driver AR","DRIVERAR12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverar.divemetric@driverar.com","ACTIVE"
"Driver AS","DRIVERAS12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveras.divemetric@driveras.com","ACTIVE"
"Driver AT","DRIVERAT12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverat.divemetric@driverat.com","ACTIVE"
"Driver AU","DRIVERAU12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverau.divemetric@driverau.com","ACTIVE"
"Driver AV","DRIVERAV12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverav.divemetric@driverav.com","ACTIVE"
"Driver AW","DRIVERAW12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driveraw.divemetric@driveraw.com","ACTIVE"
"Driver AX","DRIVERAX12345","Helper, Driver","AMZL_HELPER, CDV, Standard Parcel , EDV","2030-01-01","","","driverax.divemetric@driverax.com","ACTIVE"
